image_filename,weight,foot,inch
nickcannon1.jpg,172,6,0
nickcannon2.jpg,172,6,0
nickcannon3.jpg,172,6,0
nickcannon4.jpg,172,6,0
nickcannon5.jpg,172,6,0
ryanreynolds1.jpg,185,6,2
ryanreynolds2.jpg,185,6,2
ryanreynolds3.jpg,185,6,2
ryanreynolds4.jpg,185,6,2
ryanreynolds5.jpg,185,6,2
eddiecibrian1.jpg,174,6,2
eddiecibrian2.jpg,174,6,2
eddiecibrian3.jpg,174,6,2
eddiecibrian4.jpg,174,6,2
eddiecibrian5.jpg,174,6,2
brianaustingreen1.jpg,190,6,0
brianaustingreen2.jpg,190,6,0
brianaustingreen3.jpg,190,6,0
brianaustingreen4.jpg,190,6,0
brianaustingreen5.jpg,190,6,0
nicklachey1.jpg,168,5,9
nicklachey2.jpg,168,5,9
nicklachey3.jpg,168,5,9
nicklachey4.jpg,168,5,9
nicklachey5.jpg,168,5,9
katgraham1.jpg,115,5,2
katgraham2.jpg,115,5,2
katgraham3.jpg,115,5,2
katgraham4.jpg,115,5,2
katgraham5.jpg,115,5,2
lucyliu1.jpg,115,5,3
lucyliu2.jpg,115,5,3
lucyliu3.jpg,115,5,3
lucyliu4.jpg,115,5,3
lucyliu5.jpg,115,5,3
shaymitchell1.jpg,132,5,7
shaymitchell2.jpg,132,5,7
shaymitchell3.jpg,132,5,7
shaymitchell4.jpg,132,5,7
shaymitchell5.jpg,132,5,7
dwaynejohnson1.jpg,260,6,5
dwaynejohnson2.jpg,260,6,5
dwaynejohnson3.jpg,260,6,5
dwaynejohnson4.jpg,260,6,5
dwaynejohnson5.jpg,260,6,5
maksimchmerkovskiy1.jpg,192,6,2
maksimchmerkovskiy2.jpg,192,6,2
maksimchmerkovskiy3.jpg,192,6,2
maksimchmerkovskiy4.jpg,192,6,2
maksimchmerkovskiy5.jpg,192,6,2
parkerposey1.jpg,117,5,5
parkerposey2.jpg,117,5,5
parkerposey3.jpg,117,5,5
parkerposey4.jpg,117,5,5
parkerposey5.jpg,117,5,5
lilycollins1.jpg,112,5,5
lilycollins2.jpg,112,5,5
lilycollins3.jpg,112,5,5
lilycollins4.jpg,112,5,5
lilycollins5.jpg,112,5,5
benstiller1.jpg,176,5,7
benstiller2.jpg,176,5,7
benstiller3.jpg,176,5,7
benstiller4.jpg,176,5,7
benstiller5.jpg,176,5,7
lievschreiber1.jpg,207,6,3
lievschreiber2.jpg,207,6,3
lievschreiber3.jpg,207,6,3
lievschreiber4.jpg,207,6,3
lievschreiber5.jpg,207,6,3
rachelmcadams1.jpg,119,5,4
rachelmcadams2.jpg,119,5,4
rachelmcadams3.jpg,119,5,4
rachelmcadams4.jpg,119,5,4
rachelmcadams5.jpg,119,5,4
jakepavelka1.jpg,170,5,10
jakepavelka2.jpg,170,5,10
jakepavelka3.jpg,170,5,10
jakepavelka4.jpg,170,5,10
jakepavelka5.jpg,170,5,10
idinamenzel1.jpg,121,5,4
idinamenzel2.jpg,121,5,4
idinamenzel3.jpg,121,5,4
idinamenzel4.jpg,121,5,4
idinamenzel5.jpg,121,5,4
camillegrammer1.jpg,117,5,6
camillegrammer2.jpg,117,5,6
camillegrammer3.jpg,117,5,6
camillegrammer4.jpg,117,5,6
camillegrammer5.jpg,117,5,6
alecbaldwin1.jpg,201,6,0
alecbaldwin2.jpg,201,6,0
alecbaldwin3.jpg,201,6,0
alecbaldwin4.jpg,201,6,0
alecbaldwin5.jpg,201,6,0
eddiemurphy1.jpg,170,5,9
eddiemurphy2.jpg,170,5,9
eddiemurphy3.jpg,170,5,9
eddiemurphy4.jpg,170,5,9
eddiemurphy5.jpg,170,5,9
rosieo'donnell1.jpg,185,5,7
rosieo'donnell2.jpg,185,5,7
rosieo'donnell3.jpg,185,5,7
rosieo'donnell4.jpg,185,5,7
rosieo'donnell5.jpg,185,5,7
paulaabdul1.jpg,117,5,2
paulaabdul2.jpg,117,5,2
paulaabdul3.jpg,117,5,2
paulaabdul4.jpg,117,5,2
paulaabdul5.jpg,117,5,2
jennaushkowitz1.jpg,123,5,4
jennaushkowitz2.jpg,123,5,4
jennaushkowitz3.jpg,123,5,4
jennaushkowitz4.jpg,123,5,4
jennaushkowitz5.jpg,123,5,4
rebelwilson1.jpg,291,5,3
rebelwilson2.jpg,291,5,3
rebelwilson3.jpg,291,5,3
rebelwilson4.jpg,291,5,3
rebelwilson5.jpg,291,5,3
emilioestevez1.jpg,161,5,7
emilioestevez2.jpg,161,5,7
emilioestevez3.jpg,161,5,7
emilioestevez4.jpg,161,5,7
emilioestevez5.jpg,161,5,7
januaryjones1.jpg,135,5,6
januaryjones2.jpg,135,5,6
januaryjones3.jpg,135,5,6
januaryjones4.jpg,135,5,6
januaryjones5.jpg,135,5,6
lauriehernandez1.jpg,106,4,12
lauriehernandez2.jpg,106,4,12
lauriehernandez3.jpg,106,4,12
lauriehernandez4.jpg,106,4,12
lauriehernandez5.jpg,106,4,12
chrissyteigen1.jpg,121,5,9
chrissyteigen2.jpg,121,5,9
chrissyteigen3.jpg,121,5,9
chrissyteigen4.jpg,121,5,9
chrissyteigen5.jpg,121,5,9
georgestephanopoulos1.jpg,159,5,7
georgestephanopoulos2.jpg,159,5,7
georgestephanopoulos3.jpg,159,5,7
georgestephanopoulos4.jpg,159,5,7
georgestephanopoulos5.jpg,159,5,7
keiraknightley1.jpg,119,5,7
keiraknightley2.jpg,119,5,7
keiraknightley3.jpg,119,5,7
keiraknightley4.jpg,119,5,7
keiraknightley5.jpg,119,5,7
adamlevine1.jpg,170,5,12
adamlevine2.jpg,170,5,12
adamlevine3.jpg,170,5,12
adamlevine4.jpg,170,5,12
adamlevine5.jpg,170,5,12
gavinrossdale1.jpg,190,6,1
gavinrossdale2.jpg,190,6,1
gavinrossdale3.jpg,190,6,1
gavinrossdale4.jpg,190,6,1
gavinrossdale5.jpg,190,6,1
jaycutlerfootballplayer1.jpg,260,5,10
jaycutlerfootballplayer2.jpg,260,5,10
jaycutlerfootballplayer3.jpg,260,5,10
jaycutlerfootballplayer4.jpg,260,5,10
jaycutlerfootballplayer5.jpg,260,5,10
abigailbreslin1.jpg,135,5,1
abigailbreslin2.jpg,135,5,1
abigailbreslin3.jpg,135,5,1
abigailbreslin4.jpg,135,5,1
abigailbreslin5.jpg,135,5,1
laraflynnboyle1.jpg,121,5,6
laraflynnboyle2.jpg,121,5,6
laraflynnboyle3.jpg,121,5,6
laraflynnboyle4.jpg,121,5,6
laraflynnboyle5.jpg,121,5,6
kristindavis1.jpg,121,5,6
kristindavis2.jpg,121,5,6
kristindavis3.jpg,121,5,6
kristindavis4.jpg,121,5,6
kristindavis5.jpg,121,5,6
katdeluna1.jpg,119,5,3
katdeluna2.jpg,119,5,3
katdeluna3.jpg,119,5,3
katdeluna4.jpg,119,5,3
katdeluna5.jpg,119,5,3
elisabettacanalis1.jpg,120,5,7
elisabettacanalis2.jpg,120,5,7
elisabettacanalis3.jpg,120,5,7
elisabettacanalis4.jpg,120,5,7
elisabettacanalis5.jpg,120,5,7
jakegyllenhaal1.jpg,170,5,11
jakegyllenhaal2.jpg,170,5,11
jakegyllenhaal3.jpg,170,5,11
jakegyllenhaal4.jpg,170,5,11
jakegyllenhaal5.jpg,170,5,11
ryancabrera1.jpg,150,5,7
ryancabrera2.jpg,150,5,7
ryancabrera3.jpg,150,5,7
ryancabrera4.jpg,150,5,7
ryancabrera5.jpg,150,5,7
johnmayer1.jpg,181,6,3
johnmayer2.jpg,181,6,3
johnmayer3.jpg,181,6,3
johnmayer4.jpg,181,6,3
johnmayer5.jpg,181,6,3
elizabethbanks1.jpg,121,5,5
elizabethbanks2.jpg,121,5,5
elizabethbanks3.jpg,121,5,5
elizabethbanks4.jpg,121,5,5
elizabethbanks5.jpg,121,5,5
padmalakshmi1.jpg,135,5,9
padmalakshmi2.jpg,135,5,9
padmalakshmi3.jpg,135,5,9
padmalakshmi4.jpg,135,5,9
padmalakshmi5.jpg,135,5,9
rosemcgowan1.jpg,117,5,4
rosemcgowan2.jpg,117,5,4
rosemcgowan3.jpg,117,5,4
rosemcgowan4.jpg,117,5,4
rosemcgowan5.jpg,117,5,4
brunomars1.jpg,148,5,5
brunomars2.jpg,148,5,5
brunomars3.jpg,148,5,5
brunomars4.jpg,148,5,5
brunomars5.jpg,148,5,5
brucewillis1.jpg,183,6,0
brucewillis2.jpg,183,6,0
brucewillis3.jpg,183,6,0
brucewillis4.jpg,183,6,0
brucewillis5.jpg,183,6,0
matthewmcconaughey1.jpg,181,6,0
matthewmcconaughey2.jpg,181,6,0
matthewmcconaughey3.jpg,181,6,0
matthewmcconaughey4.jpg,181,6,0
matthewmcconaughey5.jpg,181,6,0
sammigiancola1.jpg,119,5,5
sammigiancola2.jpg,119,5,5
sammigiancola3.jpg,119,5,5
sammigiancola4.jpg,119,5,5
sammigiancola5.jpg,119,5,5
jaimeking1.jpg,128,5,9
jaimeking2.jpg,128,5,9
jaimeking3.jpg,128,5,9
jaimeking4.jpg,128,5,9
jaimeking5.jpg,128,5,9
doncheadle1.jpg,163,5,8
doncheadle2.jpg,163,5,8
doncheadle3.jpg,163,5,8
doncheadle4.jpg,163,5,8
doncheadle5.jpg,163,5,8
henrycavill1.jpg,203,6,1
henrycavill2.jpg,203,6,1
henrycavill3.jpg,203,6,1
henrycavill4.jpg,203,6,1
henrycavill5.jpg,203,6,1
kateupton1.jpg,141,5,10
kateupton2.jpg,141,5,10
kateupton3.jpg,141,5,10
kateupton4.jpg,141,5,10
kateupton5.jpg,141,5,10
azizansari1.jpg,137,5,6
azizansari2.jpg,137,5,6
